Position,Team,Played,W,D,L,F,A,GD,Pts,Fl,Y,R,Sh,ShT
1,Man City,34,25,6,3,68,23,45,81,316,46,2,546,195
2,Liverpool,34,20,9,5,77,35,42,69,343,39,1,546,200
3,Chelsea,34,20,7,7,56,27,29,67,360,52,2,462,164
4,Man United,33,18,12,3,59,38,21,66,400,58,1,422,173
5,Norwich,37,17,6,14,26,68.75,-9,57,374,53,3,456,139
6,Arsenal,32,17,4,11,51,37,14,55,280,45,5,379,130
7,Brentford,38,15,10,13,37,66.5,7,55,426,48,3,437,155
8,Tottenham,34,15,7,12,54,45,9,52,342,55,2,394,153
9,West Ham,34,15,7,12,52,44,8,52,308,41,4,418,147
10,Leicester,32,14,8,10,52,47,5,50,330,58,1,387,148
11,Aston Villa,34,15,3,16,43,38,5,48,372,72,0,419,151
12,Watford,38,12,11,15,24.5,52.5,-5,47,488,63,3,406,123
13,Wolves,34,13,7,14,30,38,-8,46,347,45,1,335,115
14,Everton,32,12,7,13,33,48,-15,43,330,57,1,323,116
15,Leeds,34,13,4,17,51,71,-20,43,380,70,1,442,156
16,Brighton,33,9,12,12,34,40,-6,39,336,39,7,347,124
17,Crystal Palace,33,9,9,15,38,55,-17,36,345,49,3,310,118
18,Newcastle,34,9,8,17,32,53,-21,35,334,66,1,338,117
19,Burnley,33,7,9,17,31,50,-19,30,334,50,1,303,102
20,Southampton,33,7,8,18,35,74,-39,29,366,56,3,372,135
