;team_name;common_name;elo
0;Arsenal FC;Arsenal;2083
1;Tottenham Hotspur FC;Tottenham Hotspur;2192
2;Manchester City FC;Manchester City;2258
3;Leicester City FC;Leicester City;1949
4;Crystal Palace FC;Crystal Palace;1931
5;Everton FC;Everton;1943
6;Burnley FC;Burnley;1936
7;Southampton FC;Southampton;1907
8;AFC Bournemouth;AFC Bournemouth;1893
9;Manchester United FC;Manchester United;2167
10;Liverpool FC;Liverpool;2192
11;Chelsea FC;Chelsea;2119
12;West Ham United FC;West Ham United;1907
13;Watford FC;Watford;1854
14;Newcastle United FC;Newcastle United;1907
15;Cardiff City FC;Cardiff City;1835
16;Fulham FC;Fulham;1898
17;Brighton & Hove Albion FC;Brighton & Hove Albion;1875
18;Huddersfield Town FC;Huddersfield Town;1801
19;Wolverhampton Wanderers FC;Wolverhampton Wanderers;1867
