Position,Team,Played,Shots_total_for,On_Target_total_for,Goals_total_for,Shots_pg_for,On_Target_pg_for,Goals_for,Shots_total_against,On_Target_total_against,Goals_total_against,Shots_pg_against,On_Target_pg_against,Goals_against
1,Man City,19,276,99,40,14.53,5.21,2.11,145,47,15,7.63,2.47,0.79
2,Man United,19,246,105,35,12.95,5.53,1.84,239,72,16,12.58,3.79,0.84
3,Leicester,19,240,91,34,12.63,4.79,1.79,183,63,20,9.63,3.32,1.05
4,Everton,19,182,72,23,9.58,3.79,1.21,255,81,20,13.42,4.26,1.05
5,Liverpool,19,291,105,39,15.32,5.53,2.05,175,71,22,9.21,3.74,1.16
6,Chelsea,19,275,97,27,14.47,5.11,1.42,168,56,18,8.84,2.95,0.95
7,Arsenal,19,219,75,31,11.53,3.95,1.63,218,78,18,11.47,4.11,0.95
8,West Ham,19,248,84,30,13.05,4.42,1.58,210,74,25,11.05,3.89,1.32
9,Aston Villa,19,242,92,26,12.74,4.84,1.37,288,95,19,15.16,5,1
10,Leeds,19,257,92,34,13.53,4.84,1.79,323,114,33,17,6,1.74
11,Tottenham,19,210,73,33,11.05,3.84,1.74,249,93,25,13.11,4.89,1.32
12,Newcastle,19,165,63,20,8.68,3.32,1.05,321,106,29,16.89,5.58,1.53
13,Burnley,19,187,67,19,9.84,3.53,1,321,101,28,16.89,5.32,1.47
14,Crystal Palace,19,187,71,21,9.84,3.74,1.11,276,93,34,14.53,4.89,1.79
15,Brighton,19,192,63,18,10.11,3.32,0.95,207,75,24,10.89,3.95,1.26
16,Wolves,19,192,65,15,10.11,3.42,0.79,249,85,27,13.11,4.47,1.42
17,Fulham,19,208,73,18,10.95,3.84,0.95,229,88,25,12.05,4.63,1.32
18,Southampton,19,195,72,19,10.26,3.79,1,240,103,43,12.63,5.42,2.26
19,West Brom,19,166,53,20,8.74,2.79,1.05,287,117,37,15.11,6.16,1.95
20,Sheffield United,19,140,40,8,7.37,2.11,0.42,287,115,36,15.11,6.05,1.89
