Position,Team,Played,Shots_total_for,On_Target_total_for,Goals_total_for,Shots_pg_for,On_Target_pg_for,Goals_for,Shots_total_against,On_Target_total_against,Goals_total_against,Shots_pg_against,On_Target_pg_against,Goals_against
1,Man City,19,328,120,43,17.26,6.32,2.26,140,53,17,7.37,2.79,0.89
2,West Ham,19,220,81,32,11.58,4.26,1.68,254,78,22,13.37,4.11,1.16
3,Tottenham,19,234,103,35,12.32,5.42,1.84,239,65,20,12.58,3.42,1.05
4,Chelsea,19,283,112,31,14.89,5.89,1.63,168,53,18,8.84,2.79,0.95
5,Liverpool,19,317,109,29,16.68,5.74,1.53,158,73,20,8.32,3.84,1.05
6,Man United,19,275,107,38,14.47,5.63,2,179,68,28,9.42,3.58,1.47
7,Leeds,19,265,107,28,13.95,5.63,1.47,235,87,21,12.37,4.58,1.11
8,Leicester,19,244,94,34,12.84,4.95,1.79,186,76,30,9.79,4,1.58
9,Arsenal,19,240,77,24,12.63,4.05,1.26,198,54,21,10.42,2.84,1.11
10,Southampton,19,228,94,28,12,4.95,1.47,188,77,25,9.89,4.05,1.32
11,Aston Villa,19,269,95,29,14.16,5,1.53,250,94,27,13.16,4.95,1.42
12,Wolves,19,270,89,21,14.21,4.68,1.11,193,72,25,10.16,3.79,1.32
13,Newcastle,19,232,79,26,12.21,4.16,1.37,251,87,33,13.21,4.58,1.74
14,Crystal Palace,19,162,60,20,8.53,3.16,1.05,260,84,32,13.68,4.42,1.68
15,Everton,19,218,76,24,11.47,4,1.26,249,82,28,13.11,4.32,1.47
16,Brighton,19,295,80,22,15.53,4.21,1.16,151,52,22,7.95,2.74,1.16
17,Burnley,19,197,63,14,10.37,3.32,0.74,252,86,27,13.26,4.53,1.42
18,Sheffield United,19,185,59,12,9.74,3.11,0.63,255,97,27,13.42,5.11,1.42
19,West Brom,19,174,59,15,9.16,3.11,0.79,312,129,39,16.42,6.79,2.05
20,Fulham,19,234,63,9,12.32,3.32,0.47,200,85,28,10.53,4.47,1.47
