Position,Team,Played,W,D,L,F,A,GD,Pts,Fl,Y,R,Sh,ShT
1,Man City,33,24,3,6,83,27,56,75,300,35,1,595,221
2,Liverpool,33,21,6,6,66,27,39,69,338,36,0,618,222
3,Watford,37,21,3,13,36,52,-16,66,495,65,1,432,154
4,Brentford,38,17,11,10,35.5,49,-13.5,62,451,55,2,498,162
5,Tottenham,33,19,4,10,61,36,25,61,390,47,1,420,173
6,West Ham,34,18,7,9,59,42,17,61,324,43,1,406,148
7,Arsenal,34,18,6,10,48,33,15,60,327,42,3,508,164
8,Chelsea,32,16,11,5,59,28,31,59,376,44,2,493,191
9,Man United,34,17,7,10,62,46,16,58,355,64,2,508,185
10,Norwich,38,16,9,13,29.5,53.5,-24,57,386,52,3,545,184
11,Leicester,33,16,4,13,58,49,9,52,331,39,0,416,160
12,Southampton,34,13,10,11,48,39,9,49,391,48,2,439,172
13,Leeds,34,12,9,13,45,50,-5,45,410,80,1,486,172
14,Wolves,34,13,6,15,37,40,-3,45,381,56,1,447,147
15,Aston Villa,33,12,7,14,53,48,5,43,362,53,5,430,150
16,Crystal Palace,34,10,12,12,42,49,-7,42,370,55,0,349,119
17,Everton,33,12,5,16,43,47,-4,41,323,56,4,394,131
18,Newcastle,33,10,11,12,46,58,-12,41,358,61,3,410,135
19,Brighton,34,7,14,13,32,42,-10,35,390,61,1,501,125
20,Burnley,32,6,12,14,24,43,-19,30,329,48,0,354,109
