Date,Home,home_goal_count,Away,away_goal_count,Referee,Result
5/23/2021,Arsenal,2,Brighton,0,J Moss, H 
5/23/2021,Aston Villa,2,Chelsea,1,S Attwell, H 
5/23/2021,Fulham,0,Newcastle,2,C Kavanagh, A 
5/23/2021,Leeds,3,West Brom,1,D Coote, H 
5/23/2021,Leicester,2,Tottenham,4,A Taylor, A 
5/23/2021,Liverpool,2,Crystal Palace,0,C Pawson, H 
5/23/2021,Man City,5,Everton,0,M Oliver, H 
5/23/2021,Sheffield United,1,Burnley,0,K Friend, H 
5/23/2021,West Ham,3,Southampton,0,M Atkinson, H 
5/23/2021,Wolves,1,Man United,2,M Dean, A 
5/19/2021,Everton,1,Wolves,0,A Madley, H 
5/19/2021,Newcastle,1,Sheffield United,0,R Jones, H 
5/19/2021,Tottenham,1,Aston Villa,2,C Pawson, A 
5/19/2021,Crystal Palace,1,Arsenal,3,A Taylor, A 
5/19/2021,Burnley,0,Liverpool,3,C Kavanagh, A 
5/19/2021,West Brom,1,West Ham,3,M Oliver, A 
5/18/2021,Man United,1,Fulham,1,L Mason, D 
5/18/2021,Southampton,0,Leeds,2,P Bankes, A 
5/18/2021,Brighton,3,Man City,2,S Attwell, H 
5/18/2021,Chelsea,2,Leicester,1,M Dean, H 
5/16/2021,Crystal Palace,3,Aston Villa,2,D Coote, H 
5/16/2021,Tottenham,2,Wolves,0,M Atkinson, H 
5/16/2021,West Brom,1,Liverpool,2,M Dean, A 
5/16/2021,Everton,0,Sheffield United,1,A Moss, A 
5/15/2021,Burnley,0,Leeds,4,G Scott, A 
5/15/2021,Southampton,3,Fulham,1,C Pawson, H 
5/15/2021,Brighton,1,West Ham,1,A Marriner, D 
5/14/2021,Newcastle,3,Man City,4,K Friend, A 
5/13/2021,Aston Villa,0,Everton,0,M Atkinson, D 
5/13/2021,Man United,2,Liverpool,4,A Taylor, A 
5/12/2021,Chelsea,0,Arsenal,1,A Marriner, A 
5/11/2021,Man United,1,Leicester,2,C Pawson, A 
5/11/2021,Southampton,3,Crystal Palace,1,A Madley, H 
5/10/2021,Fulham,0,Burnley,2,D Coote, A 
5/9/2021,Wolves,2,Brighton,1,J Moss, H 
5/9/2021,Aston Villa,1,Man United,3,C Kavanagh, A 
5/9/2021,West Ham,0,Everton,1,S Attwell, A 
5/9/2021,Arsenal,3,West Brom,1,P Bankes, H 
5/8/2021,Leeds,3,Tottenham,1,M Oliver, H 
5/8/2021,Sheffield United,0,Crystal Palace,2,S Hooper, A 
5/8/2021,Man City,1,Chelsea,2,A Taylor, A 
5/8/2021,Liverpool,2,Southampton,0,K Friend, H 
5/7/2021,Leicester,2,Newcastle,4,D England, A 
5/3/2021,West Brom,1,Wolves,1,P Tierney, D 
5/3/2021,Burnley,1,West Ham,2,A Taylor, A 
5/2/2021,Newcastle,0,Arsenal,2,M Dean, A 
5/2/2021,Tottenham,4,Sheffield United,0,A Marriner, H 
5/1/2021,Crystal Palace,0,Man City,2,D Coote, A 
5/1/2021,Brighton,2,Leeds,0,C Kavanagh, H 
5/1/2021,Chelsea,2,Fulham,0,K Friend, H 
5/1/2021,Everton,1,Aston Villa,2,S Hooper, A 
4/30/2021,Southampton,1,Leicester,1,R Jones, D 
4/26/2021,Leicester,2,Crystal Palace,1,G Scott, H 
4/25/2021,Wolves,0,Burnley,4,D England, A 
4/25/2021,Leeds,0,Man United,0,C Pawson, D 
4/25/2021,Aston Villa,2,West Brom,2,S Attwell, D 
4/24/2021,Liverpool,1,Newcastle,1,A Marriner, D 
4/24/2021,West Ham,0,Chelsea,1,C Kavanagh, A 
4/24/2021,Sheffield United,1,Brighton,0,K Friend, H 
4/23/2021,Arsenal,0,Everton,1,J Moss, A 
4/22/2021,Leicester,3,West Brom,0,A Madley, H 
4/21/2021,Tottenham,2,Southampton,1,D Coote, H 
4/21/2021,Aston Villa,1,Man City,2,P Bankes, A 
4/20/2021,Chelsea,0,Brighton,0,S Attwell, D 
4/19/2021,Leeds,1,Liverpool,1,A Taylor, D 
4/18/2021,Arsenal,1,Fulham,1,C Pawson, D 
4/18/2021,Man United,3,Burnley,1,J Moss, H 
4/17/2021,Newcastle,3,West Ham,2,K Friend, H 
4/17/2021,Wolves,1,Sheffield United,0,R Jones, H 
4/16/2021,Everton,2,Tottenham,2,M Oliver, D 
4/12/2021,West Brom,3,Southampton,0,S Hooper, H 
4/12/2021,Brighton,0,Everton,0,D England, D 
4/11/2021,Burnley,1,Newcastle,2,A Taylor, A 
4/11/2021,West Ham,3,Leicester,2,M Dean, H 
4/11/2021,Tottenham,1,Man United,3,C Kavanagh, A 
4/11/2021,Sheffield United,0,Arsenal,3,P Bankes, A 
4/10/2021,Man City,1,Leeds,2,A Marriner, A 
4/10/2021,Liverpool,2,Aston Villa,1,P Tierney, H 
4/10/2021,Crystal Palace,1,Chelsea,4,M Oliver, A 
4/9/2021,Fulham,0,Wolves,1,J Moss, A 
4/5/2021,Everton,1,Crystal Palace,1,K Friend, D 
4/5/2021,Wolves,2,West Ham,3,M Oliver, A 
4/4/2021,Southampton,3,Burnley,2,A Marriner, H 
4/4/2021,Newcastle,2,Tottenham,2,C Pawson, D 
4/4/2021,Aston Villa,3,Fulham,1,A Madley, H 
4/4/2021,Man United,2,Brighton,1,M Dean, H 
4/3/2021,Chelsea,2,West Brom,5,D Coote, A 
4/3/2021,Leeds,2,Sheffield United,1,G Scott, H 
4/3/2021,Leicester,0,Man City,2,A Taylor, A 
4/3/2021,Arsenal,0,Liverpool,3,S Attwell, A 
